confirm,confirm_add,confirm_cuts,country,date,dead,dead_cuts,description,heal,heal_cuts,newConfirm,newDead,newHeal,now_confirm_cuts,province,wzz,wzz_add,year
26,9,,中国,01.21,0,,,0,,0,0,0,,广东,0,0,2020
32,6,,中国,01.22,0,,,0,,6,0,0,,广东,0,0,2020
53,21,,中国,01.23,0,,,2,,21,0,2,,广东,0,0,2020
78,25,,中国,01.24,0,,,2,,25,0,0,,广东,0,0,2020
146,48,,中国,01.26,0,,,2,,48,0,0,,广东,0,0,2020
188,42,,中国,01.27,0,,,4,,42,0,2,,广东,0,0,2020
241,53,,中国,01.28,0,,,5,,53,0,1,,广东,0,0,2020
311,70,,中国,01.29,0,,,6,,70,0,1,,广东,0,0,2020
393,82,,中国,01.30,0,,,9,,82,0,3,,广东,0,0,2020
520,127,,中国,01.31,0,,,9,,127,0,0,,广东,0,0,2020
604,84,,中国,02.01,0,,,12,,84,0,3,,广东,0,0,2020
683,79,,中国,02.02,0,,,14,,79,0,2,,广东,0,0,2020
797,114,,中国,02.03,0,,,20,,114,0,6,,广东,0,0,2020
870,73,,中国,02.04,0,,,32,,73,0,12,,广东,0,0,2020
944,74,,中国,02.05,0,,,49,,74,0,17,,广东,0,0,2020
1018,74,,中国,02.06,0,,,68,,74,0,19,,广东,0,0,2020
1075,57,,中国,02.07,1,,,97,,57,1,29,,广东,0,0,2020
1120,45,,中国,02.08,1,,,125,,45,0,28,,广东,0,0,2020
1151,31,,中国,02.09,1,,,143,,31,0,18,,广东,0,0,2020
1177,26,,中国,02.10,1,,,181,,26,0,38,,广东,0,0,2020
1219,42,,中国,02.11,1,,,241,,42,0,60,,广东,0,0,2020
1241,22,,中国,02.12,1,,,284,,22,0,43,,广东,0,0,2020
1241,22,,中国,02.13,2,,,284,,22,1,0,,广东,0,0,2020
1294,33,,中国,02.14,2,,,386,,33,0,102,,广东,0,0,2020
1316,22,,中国,02.15,2,,,436,,22,0,50,,广东,0,0,2020
1322,6,,中国,02.16,4,,,473,,6,2,37,,广东,0,0,2020
1328,6,,中国,02.17,4,,,530,,6,0,57,,广东,0,0,2020
1331,3,,中国,02.18,5,,,571,,3,1,41,,广东,0,0,2020
1332,1,,中国,02.19,5,,,619,,1,0,48,,广东,0,0,2020
1333,1,,中国,02.20,5,,,664,,1,0,45,,广东,0,0,2020
1339,6,,中国,02.21,5,,,720,,6,0,56,,广东,0,0,2020
1342,3,,中国,02.22,6,,,740,,3,1,20,,广东,0,0,2020
1345,3,,中国,02.23,6,,,772,,3,0,32,,广东,0,0,2020
1347,2,,中国,02.24,7,,,805,,2,1,33,,广东,0,0,2020
1347,0,,中国,02.25,7,,,841,,0,0,36,,广东,0,0,2020
1347,0,,中国,02.26,7,,,873,,0,0,32,,广东,0,0,2020
1348,1,,中国,02.27,7,,,919,,1,0,46,,广东,0,0,2020
1349,1,,中国,02.28,7,,,972,,1,0,53,,广东,0,0,2020
1349,0,,中国,02.29,7,,,1009,,0,0,37,,广东,0,0,2020
1350,1,,中国,03.01,7,,,1034,,1,0,25,,广东,0,0,2020
1350,0,,中国,03.02,7,,,1081,,0,0,47,,广东,0,0,2020
1350,0,,中国,03.03,7,,,1129,,0,0,48,,广东,0,0,2020
1350,0,,中国,03.04,7,,,1159,,0,0,30,,广东,0,0,2020
1351,1,,中国,03.05,7,,,1181,,1,0,22,,广东,0,0,2020
1352,1,,中国,03.06,7,,,1233,,1,0,52,,广东,0,0,2020
1352,0,,中国,03.07,7,,,1250,,0,0,17,,广东,0,0,2020
1352,0,,中国,03.08,8,,,1260,,0,1,10,,广东,0,0,2020
1353,1,,中国,03.09,8,,东莞确诊病例中包含1例境外输入型病例。,1270,,1,0,10,,广东,0,0,2020
1353,0,,中国,03.10,8,,东莞确诊病例中包含1例境外输入型病例。,1282,,0,0,12,,广东,0,0,2020
1356,3,,中国,03.11,8,,东莞确诊病例中包含1例境外输入型病例。深圳确诊病例中包含1例境外输入型病例。中山确诊病例中包含2例境外输入型病例。,1288,,3,0,6,,广东,0,0,2020
1356,0,,中国,03.12,8,,东莞确诊病例中包含1例境外输入型病例。深圳确诊病例中包含1例境外输入型病例。中山确诊病例中包含2例境外输入型病例。,1296,,0,0,8,,广东,0,0,2020
1356,0,,中国,03.13,8,,东莞确诊病例中包含1例境外输入型病例。深圳确诊病例中包含1例境外输入型病例。中山确诊病例中包含2例境外输入型病例。,1299,,0,0,3,,广东,0,0,2020
